"meta.id","meta.device","meta.remote.device","meta.name","meta.admin_status","meta.if_admin_status","meta.sap_admin_status","meta.vrtr_ifadminstatus","meta.oper_status","meta.port_name","meta.remote.id","meta.remote.port","meta.remote.network","meta.speed","meta.vrtr_name","meta.service_type","Sum values.if_in_bits.delta","Average values.if_in_bits.rate","Sum values.if_out_bits.delta","Average values.if_out_bits.rate"
y12-cr6::y12-ps-hc-1223,y12-cr6,y12-mpr1,y12-ps-hc-1223,up,up,up,up,up,lag-20,y12-mpr1::ae20,ae20,ESnet6,20000,Base,ies,0,0,0,0
wash-cr6::wash-ps-hc-783,wash-cr6,wash-mpr1,wash-ps-hc-783,up,up,up,up,up,lag-20,wash-mpr1::ae20,ae20,ESnet6,20000,Base,ies,89749276640,1042931,91244980696,1059920
wash-cr6::to_fabric_se-576,wash-cr6,wash-mpr1,to_fabric_se-576,up,up,up,up,down,lag-20,wash-mpr1::ae20,ae20,ESnet6,20000,Base,ies,156346224,1816,90097792,1046
wash-cr6::snl-dc_se-126,wash-cr6,wash-mpr1,snl-dc_se-126,up,up,up,up,up,lag-20,wash-mpr1::ae20,ae20,ESnet6,20000,Base,ies,652582333960,7586264,375325796680,4364899
wash-cr6::nrel-dc_se-531,wash-cr6,wash-mpr1,nrel-dc_se-531,up,up,up,up,up,lag-20,wash-mpr1::ae20,ae20,ESnet6,20000,Base,ies,19165132928,222620,68903016416,794532
wash-cr6::llnl-dc_se-1066,wash-cr6,wash-mpr1,llnl-dc_se-1066,up,up,up,up,up,lag-20,wash-mpr1::ae20,ae20,ESnet6,20000,Base,ies,11305212792,131637,22320391024,262577
wash-cr6::lanl-dc_se-1065,wash-cr6,wash-mpr1,lanl-dc_se-1065,up,up,up,up,up,lag-20,wash-mpr1::ae20,ae20,ESnet6,20000,Base,ies,46257824192,538082,32956829392,383564
sunn-cr6::to_sunn-gw,sunn-cr6,sunn-mpr1,to_sunn-gw,up,up,up,up,up,lag-20,sunn-mpr1::ae20,ae20,ESnet6,20000,Base,ies,99616783200,1280470,101481180104,1298160
sunn-cr6::sunn-ps-hc-732,sunn-cr6,sunn-mpr1,sunn-ps-hc-732,up,up,up,up,up,lag-20,sunn-mpr1::ae20,ae20,ESnet6,20000,Base,ies,48169974656,613684,49125202624,625805
sunn-cr6::esnet_se-1061,sunn-cr6,esnethal-br1,esnet_se-1061,up,up,up,up,up,2/1/c16/1,esnethal-br1::2/1/c1/1,2/1/c1/1,HAL Datacenter,100000,Base,ies,8162270013264,104005021,8910692181888,113358802
